GroupID,ParticipantID,AgeGroup,SexAtBirth,GenderIdentity,Ethnicity,Education,WorkStatus,District,Religion,CR_Item_1,CR_Item_2,CR_Item_3,CR_Item_4,CR_Item_5,CR_Item_6,CR_Item_7,CR_Item_8,CR_Item_9,CR_Item_10,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Openness
18,G18_P3,25-34,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,Nieuw-West,Geen religie,5,5,4,4,3,3,1,1,4,4,1,7,7,1,6
18,G18_P4,65+,Vrouw,Vrouw,Nederlands,HBO,Gepensioneerd,Zuid,Christendom,3,1,2,3,2,5,2,5,5,2,6,2,6,5,7
18,G18_P5,65+,Vrouw,Vrouw,Aziatisch,HBO,Gepensioneerd,Zuid,Christendom,3,4,1,1,3,5,2,3,4,4,6,1,4,3,4
18,G18_P6,18-24,Vrouw,Vrouw,Nederlands,Mbo,Student,Oost,Agnostisch,2,3,2,2,4,4,3,5,3,5,2,1,3,3,5
18,G18_P7,55-64,Vrouw,Vrouw,Nederlands,Vmbo,Zorg,Noord,Geen religie,1,3,1,3,4,2,5,4,1,5,2,4,5,4,4
18,G18_P8,35-44,Vrouw,Vrouw,Overig,Vmbo,Fulltime,West,Boeddhisme,3,5,3,1,5,3,4,5,5,2,4,1,6,7,3
18,G18_P9,25-34,Vrouw,Vrouw,Nederlands,HBO,Vrijwilliger,Centrum,Christendom,4,4,5,3,3,1,3,2,1,2,5,4,5,4,5
18,G18_P10,35-44,Man,Man,Turks,Vmbo,Fulltime,West,Christendom,5,4,4,2,3,3,1,1,5,2,1,1,6,2,5
19,G19_P1,18-24,Man,Man,Nederlands,Vmbo,Student,Oost,Geen religie,4,2,4,2,4,5,5,1,3,4,6,1,3,4,2
19,G19_P2,65+,Vrouw,Vrouw,Aziatisch,Havo/Vwo,Vrijwilliger,Zuidoost,Jodendom,4,2,5,2,4,3,2,1,1,5,4,7,5,5,7
19,G19_P3,35-44,Vrouw,Vrouw,Nederlands,Geen,Fulltime,Centrum,Geen religie,5,1,2,5,5,4,3,3,4,4,4,6,3,7,4
19,G19_P4,65+,Vrouw,Vrouw,Nederlands,Vmbo,Vrijwilliger,Noord,Boeddhisme,1,3,3,1,3,4,5,5,1,3,7,7,2,2,3
19,G19_P5,65+,Vrouw,Vrouw,Aziatisch,Geen,Gepensioneerd,West,Christendom,1,1,4,4,1,3,5,5,1,1,7,1,3,4,1
19,G19_P6,18-24,Man,Man,Nederlands,Havo/Vwo,Parttime,Centrum,Geen religie,2,5,1,1,2,3,1,5,1,5,6,6,4,4,5
19,G19_P7,35-44,Man,Man,Nederlands,Mbo,Fulltime,Zuidoost,Christendom,1,1,3,2,4,4,2,1,3,3,4,3,6,2,1
19,G19_P8,45-54,Vrouw,Vrouw,Aziatisch,Havo/Vwo,Gezondheid,Nieuw-West,Geen religie,1,1,1,3,5,1,5,3,5,3,3,4,3,3,2
19,G19_P9,55-64,Man,Man,Turks,Mbo,Parttime,West,Geen religie,3,1,5,3,2,3,3,2,4,4,1,1,4,6,5
19,G19_P10,35-44,Man,Man,Nederlands,Geen,Parttime,Centrum,Geen religie,1,4,5,3,1,2,1,3,5,3,2,6,7,7,4
20,G20_P1,25-34,Vrouw,Vrouw,Nederlands,HBO,Fulltime,West,Geen religie,2,1,1,2,5,2,1,2,2,5,4,6,1,5,2
20,G20_P2,18-24,Vrouw,Vrouw,Overig,Havo/Vwo,Student,Zuid,Geen religie,3,3,2,2,1,3,2,4,2,2,3,7,7,3,5
20,G20_P3,45-54,Man,Man,Nederlands,Universiteit,Gezondheid,Zuid,Geen religie,4,3,2,5,2,3,3,2,1,1,6,1,3,4,3
20,G20_P4,45-54,Man,Man,Nederlands,Geen,Parttime,West,Christendom,2,5,3,3,5,3,4,2,1,5,4,1,1,5,4
20,G20_P5,45-54,Vrouw,Vrouw,Nederlands,Geen,Parttime,Zuid,Hindoeïsme,5,2,1,2,2,3,2,3,4,3,5,7,1,4,7
20,G20_P6,65+,Man,Man,Nederlands,Havo/Vwo,Gepensioneerd,Nieuw-West,Geen religie,1,3,1,1,2,2,4,5,1,5,7,7,4,7,7
20,G20_P7,45-54,Man,Man,Nederlands,Havo/Vwo,Parttime,West,Islam,5,2,3,2,1,3,2,2,2,3,4,3,7,5,6
20,G20_P8,55-64,Vrouw,Vrouw,Overig,Havo/Vwo,Fulltime,Nieuw-West,Agnostisch,2,1,1,5,3,1,1,4,4,1,6,5,1,2,3
20,G20_P9,25-34,Man,Man,Nederlands,Havo/Vwo,Fulltime,Zuid,Christendom,2,4,2,4,3,5,4,2,2,3,2,1,5,4,6
20,G20_P10,45-54,Man,Man,Nederlands,Mbo,Gezondheid,Centrum,Geen religie,3,2,1,1,5,5,5,1,2,4,5,2,7,3,5
