"Bevolking op de eerste van de maand; geslacht, leeftijd, herkomstland"
"Geboorteland ouders: Totaal"
"Onderwerp: |Bevolking op de eerste van de maand"
"Perioden: 2023 januari"
"Geboorteland: Totaal"
"";""
"Leeftijd";"Geslacht";"Herkomstland";"aantal"
"62 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"33598"
"62 jaar";"Mannen";"Totaal";"117246"
"62 jaar";"Mannen";"Nederland";"94676"
"62 jaar";"Mannen";"Europa (exclusief Nederland)";"6070"
"62 jaar";"Mannen";"Buiten Europa";"16500"
"62 jaar";"Vrouwen";"Totaal";"118246"
"62 jaar";"Vrouwen";"Nederland";"94030"
"62 jaar";"Vrouwen";"Europa (exclusief Nederland)";"7118"
"62 jaar";"Vrouwen";"Buiten Europa";"17098"
"63 jaar";"Totaal mannen en vrouwen";"Totaal";"231731"
"63 jaar";"Totaal mannen en vrouwen";"Nederland";"188671"
"63 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"12793"
"63 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"30267"
"63 jaar";"Mannen";"Totaal";"115173"
"63 jaar";"Mannen";"Nederland";"94438"
"63 jaar";"Mannen";"Europa (exclusief Nederland)";"5781"
"63 jaar";"Mannen";"Buiten Europa";"14954"
"63 jaar";"Vrouwen";"Totaal";"116558"
"63 jaar";"Vrouwen";"Nederland";"94233"
"63 jaar";"Vrouwen";"Europa (exclusief Nederland)";"7012"
"63 jaar";"Vrouwen";"Buiten Europa";"15313"
"64 jaar";"Totaal mannen en vrouwen";"Totaal";"224182"
"64 jaar";"Totaal mannen en vrouwen";"Nederland";"183435"
"64 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"12133"
"64 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"28614"
"64 jaar";"Mannen";"Totaal";"111328"
"64 jaar";"Mannen";"Nederland";"91921"
"64 jaar";"Mannen";"Europa (exclusief Nederland)";"5522"
"64 jaar";"Mannen";"Buiten Europa";"13885"
"64 jaar";"Vrouwen";"Totaal";"112854"
"64 jaar";"Vrouwen";"Nederland";"91514"
"64 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6611"
"64 jaar";"Vrouwen";"Buiten Europa";"14729"
"65 jaar";"Totaal mannen en vrouwen";"Totaal";"217945"
"65 jaar";"Totaal mannen en vrouwen";"Nederland";"179157"
"65 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11760"
"65 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"27028"
"65 jaar";"Mannen";"Totaal";"107786"
"65 jaar";"Mannen";"Nederland";"89678"
"65 jaar";"Mannen";"Europa (exclusief Nederland)";"5242"
"65 jaar";"Mannen";"Buiten Europa";"12866"
"65 jaar";"Vrouwen";"Totaal";"110159"
"65 jaar";"Vrouwen";"Nederland";"89479"
"65 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6518"
"65 jaar";"Vrouwen";"Buiten Europa";"14162"
"66 jaar";"Totaal mannen en vrouwen";"Totaal";"212222"
"66 jaar";"Totaal mannen en vrouwen";"Nederland";"174922"
"66 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11311"
"66 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"25989"
"66 jaar";"Mannen";"Totaal";"105102"
"66 jaar";"Mannen";"Nederland";"87487"
"66 jaar";"Mannen";"Europa (exclusief Nederland)";"5016"
"66 jaar";"Mannen";"Buiten Europa";"12599"
"66 jaar";"Vrouwen";"Totaal";"107120"
"66 jaar";"Vrouwen";"Nederland";"87435"
"66 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6295"
"66 jaar";"Vrouwen";"Buiten Europa";"13390"
"67 jaar";"Totaal mannen en vrouwen";"Totaal";"205091"
"67 jaar";"Totaal mannen en vrouwen";"Nederland";"169892"
"67 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11150"
"67 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"24049"
"67 jaar";"Mannen";"Totaal";"100778"
"67 jaar";"Mannen";"Nederland";"84389"
"67 jaar";"Mannen";"Europa (exclusief Nederland)";"4986"
"67 jaar";"Mannen";"Buiten Europa";"11403"
"67 jaar";"Vrouwen";"Totaal";"104313"
"67 jaar";"Vrouwen";"Nederland";"85503"
"67 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6164"
"67 jaar";"Vrouwen";"Buiten Europa";"12646"
"68 jaar";"Totaal mannen en vrouwen";"Totaal";"200221"
"68 jaar";"Totaal mannen en vrouwen";"Nederland";"166353"
"68 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11057"
"68 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"22811"
"68 jaar";"Mannen";"Totaal";"98693"
"68 jaar";"Mannen";"Nederland";"83122"
"68 jaar";"Mannen";"Europa (exclusief Nederland)";"4864"
"68 jaar";"Mannen";"Buiten Europa";"10707"
"68 jaar";"Vrouwen";"Totaal";"101528"
"68 jaar";"Vrouwen";"Nederland";"83231"
"68 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6193"
"68 jaar";"Vrouwen";"Buiten Europa";"12104"
"69 jaar";"Totaal mannen en vrouwen";"Totaal";"195142"
"69 jaar";"Totaal mannen en vrouwen";"Nederland";"163161"
"69 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"10900"
"69 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"21081"
"69 jaar";"Mannen";"Totaal";"95881"
"69 jaar";"Mannen";"Nederland";"81050"
"69 jaar";"Mannen";"Europa (exclusief Nederland)";"4882"
"69 jaar";"Mannen";"Buiten Europa";"9949"
"69 jaar";"Vrouwen";"Totaal";"99261"
"69 jaar";"Vrouwen";"Nederland";"82111"
"69 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6018"
"69 jaar";"Vrouwen";"Buiten Europa";"11132"
"70 jaar";"Totaal mannen en vrouwen";"Totaal";"193337"
"70 jaar";"Totaal mannen en vrouwen";"Nederland";"161965"
"70 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11424"
"70 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"19948"
"70 jaar";"Mannen";"Totaal";"94772"
"70 jaar";"Mannen";"Nederland";"80239"
"70 jaar";"Mannen";"Europa (exclusief Nederland)";"5131"
"70 jaar";"Mannen";"Buiten Europa";"9402"
"70 jaar";"Vrouwen";"Totaal";"98565"
"70 jaar";"Vrouwen";"Nederland";"81726"
"70 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6293"
"70 jaar";"Vrouwen";"Buiten Europa";"10546"
"71 jaar";"Totaal mannen en vrouwen";"Totaal";"184337"
"71 jaar";"Totaal mannen en vrouwen";"Nederland";"154975"
"71 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11116"
"71 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"18246"
"71 jaar";"Mannen";"Totaal";"90432"
"71 jaar";"Mannen";"Nederland";"76615"
"71 jaar";"Mannen";"Europa (exclusief Nederland)";"5150"
"71 jaar";"Mannen";"Buiten Europa";"8667"
"71 jaar";"Vrouwen";"Totaal";"93905"
"71 jaar";"Vrouwen";"Nederland";"78360"
"71 jaar";"Vrouwen";"Europa (exclusief Nederland)";"5966"
"71 jaar";"Vrouwen";"Buiten Europa";"9579"
"72 jaar";"Totaal mannen en vrouwen";"Totaal";"182912"
"72 jaar";"Totaal mannen en vrouwen";"Nederland";"152832"
"72 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11361"
"72 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"18719"
"72 jaar";"Mannen";"Totaal";"89097"
"72 jaar";"Mannen";"Nederland";"75085"
"72 jaar";"Mannen";"Europa (exclusief Nederland)";"5204"
"72 jaar";"Mannen";"Buiten Europa";"8808"
"72 jaar";"Vrouwen";"Totaal";"93815"
"72 jaar";"Vrouwen";"Nederland";"77747"
"72 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6157"
"72 jaar";"Vrouwen";"Buiten Europa";"9911"
"73 jaar";"Totaal mannen en vrouwen";"Totaal";"182216"
"73 jaar";"Totaal mannen en vrouwen";"Nederland";"153895"
"73 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11683"
"73 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"16638"
"73 jaar";"Mannen";"Totaal";"88585"
"73 jaar";"Mannen";"Nederland";"75344"
"73 jaar";"Mannen";"Europa (exclusief Nederland)";"5406"
"73 jaar";"Mannen";"Buiten Europa";"7835"
"73 jaar";"Vrouwen";"Totaal";"93631"
"73 jaar";"Vrouwen";"Nederland";"78551"
"73 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6277"
"73 jaar";"Vrouwen";"Buiten Europa";"8803"
"74 jaar";"Totaal mannen en vrouwen";"Totaal";"184417"
"74 jaar";"Totaal mannen en vrouwen";"Nederland";"156922"
"74 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"11940"
"74 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"15555"
"74 jaar";"Mannen";"Totaal";"89464"
"74 jaar";"Mannen";"Nederland";"76404"
"74 jaar";"Mannen";"Europa (exclusief Nederland)";"5606"
"74 jaar";"Mannen";"Buiten Europa";"7454"
"74 jaar";"Vrouwen";"Totaal";"94953"
"74 jaar";"Vrouwen";"Nederland";"80518"
"74 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6334"
"74 jaar";"Vrouwen";"Buiten Europa";"8101"
"75 jaar";"Totaal mannen en vrouwen";"Totaal";"189898"
"75 jaar";"Totaal mannen en vrouwen";"Nederland";"163442"
"75 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"12693"
"75 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"13763"
"75 jaar";"Mannen";"Totaal";"91254"
"75 jaar";"Mannen";"Nederland";"78726"
"75 jaar";"Mannen";"Europa (exclusief Nederland)";"5920"
"75 jaar";"Mannen";"Buiten Europa";"6608"
"75 jaar";"Vrouwen";"Totaal";"98644"
"75 jaar";"Vrouwen";"Nederland";"84716"
"75 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6773"
"75 jaar";"Vrouwen";"Buiten Europa";"7155"
"76 jaar";"Totaal mannen en vrouwen";"Totaal";"191452"
"76 jaar";"Totaal mannen en vrouwen";"Nederland";"167840"
"76 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"12976"
"76 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"10636"
"76 jaar";"Mannen";"Totaal";"91799"
"76 jaar";"Mannen";"Nederland";"80615"
"76 jaar";"Mannen";"Europa (exclusief Nederland)";"6034"
"76 jaar";"Mannen";"Buiten Europa";"5150"
"76 jaar";"Vrouwen";"Totaal";"99653"
"76 jaar";"Vrouwen";"Nederland";"87225"
"76 jaar";"Vrouwen";"Europa (exclusief Nederland)";"6942"
"76 jaar";"Vrouwen";"Buiten Europa";"5486"
"77 jaar";"Totaal mannen en vrouwen";"Totaal";"132338"
"77 jaar";"Totaal mannen en vrouwen";"Nederland";"113514"
"77 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"10611"
"77 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"8213"
"77 jaar";"Mannen";"Totaal";"62444"
"77 jaar";"Mannen";"Nederland";"53558"
"77 jaar";"Mannen";"Europa (exclusief Nederland)";"5012"
"77 jaar";"Mannen";"Buiten Europa";"3874"
"77 jaar";"Vrouwen";"Totaal";"69894"
"77 jaar";"Vrouwen";"Nederland";"59956"
"77 jaar";"Vrouwen";"Europa (exclusief Nederland)";"5599"
"77 jaar";"Vrouwen";"Buiten Europa";"4339"
"78 jaar";"Totaal mannen en vrouwen";"Totaal";"134024"
"78 jaar";"Totaal mannen en vrouwen";"Nederland";"116531"
"78 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"10115"
"78 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"7378"
"78 jaar";"Mannen";"Totaal";"62768"
"78 jaar";"Mannen";"Nederland";"54597"
"78 jaar";"Mannen";"Europa (exclusief Nederland)";"4649"
"78 jaar";"Mannen";"Buiten Europa";"3522"
"78 jaar";"Vrouwen";"Totaal";"71256"
"78 jaar";"Vrouwen";"Nederland";"61934"
"78 jaar";"Vrouwen";"Europa (exclusief Nederland)";"5466"
"78 jaar";"Vrouwen";"Buiten Europa";"3856"
"79 jaar";"Totaal mannen en vrouwen";"Totaal";"122998"
"79 jaar";"Totaal mannen en vrouwen";"Nederland";"107135"
"79 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"9263"
"79 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"6600"
"79 jaar";"Mannen";"Totaal";"57230"
"79 jaar";"Mannen";"Nederland";"49736"
"79 jaar";"Mannen";"Europa (exclusief Nederland)";"4262"
"79 jaar";"Mannen";"Buiten Europa";"3232"
"79 jaar";"Vrouwen";"Totaal";"65768"
"79 jaar";"Vrouwen";"Nederland";"57399"
"79 jaar";"Vrouwen";"Europa (exclusief Nederland)";"5001"
"79 jaar";"Vrouwen";"Buiten Europa";"3368"
"80 jaar";"Totaal mannen en vrouwen";"Totaal";"109062"
"80 jaar";"Totaal mannen en vrouwen";"Nederland";"92423"
"80 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"8426"
"80 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"8213"
"80 jaar";"Mannen";"Totaal";"49955"
"80 jaar";"Mannen";"Nederland";"42343"
"80 jaar";"Mannen";"Europa (exclusief Nederland)";"3800"
"80 jaar";"Mannen";"Buiten Europa";"3812"
"80 jaar";"Vrouwen";"Totaal";"59107"
"80 jaar";"Vrouwen";"Nederland";"50080"
"80 jaar";"Vrouwen";"Europa (exclusief Nederland)";"4626"
"80 jaar";"Vrouwen";"Buiten Europa";"4401"
"81 jaar";"Totaal mannen en vrouwen";"Totaal";"99205"
"81 jaar";"Totaal mannen en vrouwen";"Nederland";"84079"
"81 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"8008"
"81 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"7118"
"81 jaar";"Mannen";"Totaal";"44857"
"81 jaar";"Mannen";"Nederland";"37892"
"81 jaar";"Mannen";"Europa (exclusief Nederland)";"3558"
"81 jaar";"Mannen";"Buiten Europa";"3407"
"81 jaar";"Vrouwen";"Totaal";"54348"
"81 jaar";"Vrouwen";"Nederland";"46187"
"81 jaar";"Vrouwen";"Europa (exclusief Nederland)";"4450"
"81 jaar";"Vrouwen";"Buiten Europa";"3711"
"82 jaar";"Totaal mannen en vrouwen";"Totaal";"96045"
"82 jaar";"Totaal mannen en vrouwen";"Nederland";"80547"
"82 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"7932"
"82 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"7566"
"82 jaar";"Mannen";"Totaal";"42598"
"82 jaar";"Mannen";"Nederland";"35445"
"82 jaar";"Mannen";"Europa (exclusief Nederland)";"3487"
"82 jaar";"Mannen";"Buiten Europa";"3666"
"82 jaar";"Vrouwen";"Totaal";"53447"
"82 jaar";"Vrouwen";"Nederland";"45102"
"82 jaar";"Vrouwen";"Europa (exclusief Nederland)";"4445"
"82 jaar";"Vrouwen";"Buiten Europa";"3900"
"83 jaar";"Totaal mannen en vrouwen";"Totaal";"87043"
"83 jaar";"Totaal mannen en vrouwen";"Nederland";"73783"
"83 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"7349"
"83 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"5911"
"83 jaar";"Mannen";"Totaal";"37531"
"83 jaar";"Mannen";"Nederland";"31630"
"83 jaar";"Mannen";"Europa (exclusief Nederland)";"3115"
"83 jaar";"Mannen";"Buiten Europa";"2786"
"83 jaar";"Vrouwen";"Totaal";"49512"
"83 jaar";"Vrouwen";"Nederland";"42153"
"83 jaar";"Vrouwen";"Europa (exclusief Nederland)";"4234"
"83 jaar";"Vrouwen";"Buiten Europa";"3125"
"84 jaar";"Totaal mannen en vrouwen";"Totaal";"79459"
"84 jaar";"Totaal mannen en vrouwen";"Nederland";"67723"
"84 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"6636"
"84 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"5100"
"84 jaar";"Mannen";"Totaal";"33735"
"84 jaar";"Mannen";"Nederland";"28516"
"84 jaar";"Mannen";"Europa (exclusief Nederland)";"2846"
"84 jaar";"Mannen";"Buiten Europa";"2373"
"84 jaar";"Vrouwen";"Totaal";"45724"
"84 jaar";"Vrouwen";"Nederland";"39207"
"84 jaar";"Vrouwen";"Europa (exclusief Nederland)";"3790"
"84 jaar";"Vrouwen";"Buiten Europa";"2727"
"85 jaar";"Totaal mannen en vrouwen";"Totaal";"68184"
"85 jaar";"Totaal mannen en vrouwen";"Nederland";"58321"
"85 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"5700"
"85 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"4163"
"85 jaar";"Mannen";"Totaal";"28100"
"85 jaar";"Mannen";"Nederland";"23876"
"85 jaar";"Mannen";"Europa (exclusief Nederland)";"2348"
"85 jaar";"Mannen";"Buiten Europa";"1876"
"85 jaar";"Vrouwen";"Totaal";"40084"
"85 jaar";"Vrouwen";"Nederland";"34445"
"85 jaar";"Vrouwen";"Europa (exclusief Nederland)";"3352"
"85 jaar";"Vrouwen";"Buiten Europa";"2287"
"86 jaar";"Totaal mannen en vrouwen";"Totaal";"60952"
"86 jaar";"Totaal mannen en vrouwen";"Nederland";"52418"
"86 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"4935"
"86 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"3599"
"86 jaar";"Mannen";"Totaal";"24363"
"86 jaar";"Mannen";"Nederland";"20801"
"86 jaar";"Mannen";"Europa (exclusief Nederland)";"1977"
"86 jaar";"Mannen";"Buiten Europa";"1585"
"86 jaar";"Vrouwen";"Totaal";"36589"
"86 jaar";"Vrouwen";"Nederland";"31617"
"86 jaar";"Vrouwen";"Europa (exclusief Nederland)";"2958"
"86 jaar";"Vrouwen";"Buiten Europa";"2014"
"87 jaar";"Totaal mannen en vrouwen";"Totaal";"53242"
"87 jaar";"Totaal mannen en vrouwen";"Nederland";"46042"
"87 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"4230"
"87 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"2970"
"87 jaar";"Mannen";"Totaal";"20608"
"87 jaar";"Mannen";"Nederland";"17720"
"87 jaar";"Mannen";"Europa (exclusief Nederland)";"1649"
"87 jaar";"Mannen";"Buiten Europa";"1239"
"87 jaar";"Vrouwen";"Totaal";"32634"
"87 jaar";"Vrouwen";"Nederland";"28322"
"87 jaar";"Vrouwen";"Europa (exclusief Nederland)";"2581"
"87 jaar";"Vrouwen";"Buiten Europa";"1731"
"88 jaar";"Totaal mannen en vrouwen";"Totaal";"45934"
"88 jaar";"Totaal mannen en vrouwen";"Nederland";"39946"
"88 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"3568"
"88 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"2420"
"88 jaar";"Mannen";"Totaal";"17116"
"88 jaar";"Mannen";"Nederland";"14835"
"88 jaar";"Mannen";"Europa (exclusief Nederland)";"1303"
"88 jaar";"Mannen";"Buiten Europa";"978"
"88 jaar";"Vrouwen";"Totaal";"28818"
"88 jaar";"Vrouwen";"Nederland";"25111"
"88 jaar";"Vrouwen";"Europa (exclusief Nederland)";"2265"
"88 jaar";"Vrouwen";"Buiten Europa";"1442"
"89 jaar";"Totaal mannen en vrouwen";"Totaal";"38273"
"89 jaar";"Totaal mannen en vrouwen";"Nederland";"33570"
"89 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"2693"
"89 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"2010"
"89 jaar";"Mannen";"Totaal";"13447"
"89 jaar";"Mannen";"Nederland";"11753"
"89 jaar";"Mannen";"Europa (exclusief Nederland)";"923"
"89 jaar";"Mannen";"Buiten Europa";"771"
"89 jaar";"Vrouwen";"Totaal";"24826"
"89 jaar";"Vrouwen";"Nederland";"21817"
"89 jaar";"Vrouwen";"Europa (exclusief Nederland)";"1770"
"89 jaar";"Vrouwen";"Buiten Europa";"1239"
"90 jaar";"Totaal mannen en vrouwen";"Totaal";"32966"
"90 jaar";"Totaal mannen en vrouwen";"Nederland";"29042"
"90 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"2236"
"90 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"1688"
"90 jaar";"Mannen";"Totaal";"11189"
"90 jaar";"Mannen";"Nederland";"9788"
"90 jaar";"Mannen";"Europa (exclusief Nederland)";"763"
"90 jaar";"Mannen";"Buiten Europa";"638"
"90 jaar";"Vrouwen";"Totaal";"21777"
"90 jaar";"Vrouwen";"Nederland";"19254"
"90 jaar";"Vrouwen";"Europa (exclusief Nederland)";"1473"
"90 jaar";"Vrouwen";"Buiten Europa";"1050"
"91 jaar";"Totaal mannen en vrouwen";"Totaal";"26462"
"91 jaar";"Totaal mannen en vrouwen";"Nederland";"23480"
"91 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"1729"
"91 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"1253"
"91 jaar";"Mannen";"Totaal";"8527"
"91 jaar";"Mannen";"Nederland";"7564"
"91 jaar";"Mannen";"Europa (exclusief Nederland)";"539"
"91 jaar";"Mannen";"Buiten Europa";"424"
"91 jaar";"Vrouwen";"Totaal";"17935"
"91 jaar";"Vrouwen";"Nederland";"15916"
"91 jaar";"Vrouwen";"Europa (exclusief Nederland)";"1190"
"91 jaar";"Vrouwen";"Buiten Europa";"829"
"92 jaar";"Totaal mannen en vrouwen";"Totaal";"21495"
"92 jaar";"Totaal mannen en vrouwen";"Nederland";"19063"
"92 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"1332"
"92 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"1100"
"92 jaar";"Mannen";"Totaal";"6541"
"92 jaar";"Mannen";"Nederland";"5796"
"92 jaar";"Mannen";"Europa (exclusief Nederland)";"374"
"92 jaar";"Mannen";"Buiten Europa";"371"
"92 jaar";"Vrouwen";"Totaal";"14954"
"92 jaar";"Vrouwen";"Nederland";"13267"
"92 jaar";"Vrouwen";"Europa (exclusief Nederland)";"958"
"92 jaar";"Vrouwen";"Buiten Europa";"729"
"93 jaar";"Totaal mannen en vrouwen";"Totaal";"15816"
"93 jaar";"Totaal mannen en vrouwen";"Nederland";"14061"
"93 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"1002"
"93 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"753"
"93 jaar";"Mannen";"Totaal";"4532"
"93 jaar";"Mannen";"Nederland";"4047"
"93 jaar";"Mannen";"Europa (exclusief Nederland)";"266"
"93 jaar";"Mannen";"Buiten Europa";"219"
"93 jaar";"Vrouwen";"Totaal";"11284"
"93 jaar";"Vrouwen";"Nederland";"10014"
"93 jaar";"Vrouwen";"Europa (exclusief Nederland)";"736"
"93 jaar";"Vrouwen";"Buiten Europa";"534"
"94 jaar";"Totaal mannen en vrouwen";"Totaal";"12162"
"94 jaar";"Totaal mannen en vrouwen";"Nederland";"10899"
"94 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"701"
"94 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"562"
"94 jaar";"Mannen";"Totaal";"3286"
"94 jaar";"Mannen";"Nederland";"2936"
"94 jaar";"Mannen";"Europa (exclusief Nederland)";"179"
"94 jaar";"Mannen";"Buiten Europa";"171"
"94 jaar";"Vrouwen";"Totaal";"8876"
"94 jaar";"Vrouwen";"Nederland";"7963"
"94 jaar";"Vrouwen";"Europa (exclusief Nederland)";"522"
"94 jaar";"Vrouwen";"Buiten Europa";"391"
"95 jaar";"Totaal mannen en vrouwen";"Totaal";"8584"
"95 jaar";"Totaal mannen en vrouwen";"Nederland";"7678"
"95 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"493"
"95 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"413"
"95 jaar";"Mannen";"Totaal";"2210"
"95 jaar";"Mannen";"Nederland";"1983"
"95 jaar";"Mannen";"Europa (exclusief Nederland)";"106"
"95 jaar";"Mannen";"Buiten Europa";"121"
"95 jaar";"Vrouwen";"Totaal";"6374"
"95 jaar";"Vrouwen";"Nederland";"5695"
"95 jaar";"Vrouwen";"Europa (exclusief Nederland)";"387"
"95 jaar";"Vrouwen";"Buiten Europa";"292"
"96 jaar";"Totaal mannen en vrouwen";"Totaal";"6288"
"96 jaar";"Totaal mannen en vrouwen";"Nederland";"5628"
"96 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"384"
"96 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"276"
"96 jaar";"Mannen";"Totaal";"1531"
"96 jaar";"Mannen";"Nederland";"1378"
"96 jaar";"Mannen";"Europa (exclusief Nederland)";"84"
"96 jaar";"Mannen";"Buiten Europa";"69"
"96 jaar";"Vrouwen";"Totaal";"4757"
"96 jaar";"Vrouwen";"Nederland";"4250"
"96 jaar";"Vrouwen";"Europa (exclusief Nederland)";"300"
"96 jaar";"Vrouwen";"Buiten Europa";"207"
"97 jaar";"Totaal mannen en vrouwen";"Totaal";"4203"
"97 jaar";"Totaal mannen en vrouwen";"Nederland";"3759"
"97 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"247"
"97 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"197"
"97 jaar";"Mannen";"Totaal";"972"
"97 jaar";"Mannen";"Nederland";"883"
"97 jaar";"Mannen";"Europa (exclusief Nederland)";"46"
"97 jaar";"Mannen";"Buiten Europa";"43"
"97 jaar";"Vrouwen";"Totaal";"3231"
"97 jaar";"Vrouwen";"Nederland";"2876"
"97 jaar";"Vrouwen";"Europa (exclusief Nederland)";"201"
"97 jaar";"Vrouwen";"Buiten Europa";"154"
"98 jaar";"Totaal mannen en vrouwen";"Totaal";"2885"
"98 jaar";"Totaal mannen en vrouwen";"Nederland";"2559"
"98 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"198"
"98 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"128"
"98 jaar";"Mannen";"Totaal";"588"
"98 jaar";"Mannen";"Nederland";"530"
"98 jaar";"Mannen";"Europa (exclusief Nederland)";"29"
"98 jaar";"Mannen";"Buiten Europa";"29"
"98 jaar";"Vrouwen";"Totaal";"2297"
"98 jaar";"Vrouwen";"Nederland";"2029"
"98 jaar";"Vrouwen";"Europa (exclusief Nederland)";"169"
"98 jaar";"Vrouwen";"Buiten Europa";"99"
"99 jaar";"Totaal mannen en vrouwen";"Totaal";"1785"
"99 jaar";"Totaal mannen en vrouwen";"Nederland";"1572"
"99 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"117"
"99 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"96"
"99 jaar";"Mannen";"Totaal";"352"
"99 jaar";"Mannen";"Nederland";"318"
"99 jaar";"Mannen";"Europa (exclusief Nederland)";"11"
"99 jaar";"Mannen";"Buiten Europa";"23"
"99 jaar";"Vrouwen";"Totaal";"1433"
"99 jaar";"Vrouwen";"Nederland";"1254"
"99 jaar";"Vrouwen";"Europa (exclusief Nederland)";"106"
"99 jaar";"Vrouwen";"Buiten Europa";"73"
"100 jaar";"Totaal mannen en vrouwen";"Totaal";"1161"
